,sar上涨形成趋势,sar上涨停滞趋势,sar下跌形成趋势,sar下跌停滞趋势,平均比--上涨形成,平均比--上涨停滞,平均比--下跌形成,平均比--下跌停滞,趋势类型,趋势类型(加权
2015-10,15,45,529,340,0.06378966052806745,0.19424946511016855,2.255487171881952,0.9805765589537173,2,2
2015-11,74,9,10,843,0.31469565860513277,0.03884989302203371,0.0426368085421919,2.431253056464658,3,3
2015-12,81,49,182,648,0.3444641668515642,0.2115160842310724,0.7759899154678926,1.868863559417673,3,3
2016-01,127,68,112,681,0.5400857924709711,0.2935325250553658,0.4775322556725493,1.9640371666102396,3,3
2016-02,8,141,862,11,0.03402115228163598,0.6086483240118614,3.6752928963369422,0.03172453573085556,2,2
2016-03,50,96,254,626,0.21263220176022485,0.41439885890169287,1.0829749369716744,1.805414487955962,3,2
2016-04,128,19,15,853,0.5443384365061756,0.08201644082429338,0.06395521281328785,2.4600935434927083,3,3
2016-05,62,98,248,596,0.2636639301826788,0.4230321684621448,1.0573928518463591,1.7188930268718103,3,1
2016-06,41,117,356,475,0.17435840544338438,0.5050486092864382,1.5178703841020318,1.3699231338323992,2,2
2016-07,92,83,102,713,0.3912432512388137,0.3582823467587553,0.43489544713035744,2.0563267251000013,3,3
2016-08,90,118,127,671,0.3827379631684047,0.5093652640666642,0.5414874684858372,1.935196679582189,3,1
2016-09,142,107,57,721,0.6038754529990386,0.46188206148417854,0.24302980869049384,2.0793991147224418,3,1
2016-10,121,173,252,485,0.5145699282597441,0.7467812769790924,1.0744475752632359,1.3987636208604497,3,1
2016-11,182,143,62,645,0.7739812144072185,0.6172816335723134,0.2643482129615898,1.8602114133092578,3,1
2016-12,198,194,84,562,0.8420235189704903,0.8374310273638377,0.358149191754412,1.6208353709764387,3,1
2017-01,127,284,358,264,0.5400857924709711,1.225929957584175,1.52639774581047,0.7613888575405334,2,1
2017-02,161,274,232,367,0.684675689667924,1.182763409781915,0.9891739581788521,1.0584458739294538,1,1
2017-03,288,188,42,513,1.224761482138895,0.811531098682482,0.179074595877206,1.479516984538991,3,1
2017-04,152,347,305,224,0.6464018933510836,1.4978792087384107,1.300422660536853,0.6460269094283314,1,1
2017-05,103,372,412,149,0.4380223356260632,1.60579557824406,1.7566365119383065,0.4297232567179526,2,1
2017-06,70,327,485,149,0.2976850824643148,1.4115461131338913,2.0678852142963073,0.4297232567179526,2,1
2017-07,253,124,69,587,1.0759189409067378,0.53526519274802,0.29419397894112415,1.6929365885465648,3,1
2017-08,184,197,200,451,0.7824865024776274,0.8503809917045156,0.852736170843838,1.300705964965078,3,1
2017-09,170,223,113,516,0.7229494859847645,0.9626140159903908,0.4817959365267685,1.4881691306474063,3,1
2017-10,159,262,201,409,0.676170401597515,1.1309635524192034,0.8569998516980573,1.179575919447266,3,1
2017-11,147,273,321,289,0.625138673175061,1.1784467550016893,1.3686415542043602,0.8334900751106598,2,1
2017-12,80,272,528,148,0.34021152281635975,1.1741301002214632,2.2512234910277327,0.4268392080151475,2,1
2018-01,119,198,305,403,0.5060646401893352,0.8546976464847416,1.300422660536853,1.1622716272304356,2,1
2018-02,136,169,284,440,0.5783595887878116,0.7295146578581886,1.21088536259825,1.2689814292342225,3,1
2018-03,52,169,520,290,0.22113748983063383,0.7295146578581886,2.217114044193979,0.8363741238134648,2,2
2018-04,85,116,191,630,0.36147474299238225,0.5007319545062122,0.8143630431558654,1.8169506827671822,3,1
2018-05,72,107,432,406,0.30619037053472375,0.46188206148417854,1.8419101290226902,1.1709237733388507,2,2
2018-06,98,84,307,526,0.4167591154500407,0.3625990015389813,1.3089500222452914,1.5170096176754568,3,2
2018-07,25,109,700,185,0.10631610088011242,0.4705153710446305,2.984576597953433,0.5335490100189344,2,2
2018-08,55,57,157,759,0.23389542193624732,0.24604932247288017,0.6693978941124129,2.188992965429034,3,3
2018-09,17,73,455,507,0.07229494859847645,0.31511579895649566,1.9399747886697316,1.4622126923221608,2,2
2018-10,38,46,111,876,0.1616004733377709,0.19856611989039452,0.4732685748183301,2.5264266636572246,3,3
2018-11,13,39,623,405,0.05528437245765846,0.16834953642881273,2.6562731721785555,1.1680397246360457,2,2
2018-12,80,31,68,909,0.34021152281635975,0.133816298187005,0.28993029808690496,2.6216002708497914,3,3
2019-01,58,75,325,636,0.2466533540418608,0.32374910851694755,1.385696277621237,1.8342549749840125,3,2
2019-02,96,84,185,734,0.4082538273796317,0.3625990015389813,0.7887809580305503,2.1168917478589075,3,3
2019-03,428,3,4,665,1.8201316470675246,0.012949964340677902,0.01705472341687676,1.9178923873653588,3,3
2019-04,674,68,13,345,2.866282079727831,0.2935325250553658,0.055427851104849477,0.9949968024677426,0,0
2019-05,310,567,116,107,1.318319650913394,2.4475432603881235,0.49458697908942606,0.30859321120014044,1,1
2019-06,129,718,190,61,0.5485910805413801,3.0993581322022448,0.8100993623016461,0.17592697087110812,1,1
2019-07,255,549,116,176,1.0844242289771466,2.3698434743440564,0.49458697908942606,0.507592571693689,1,1
2019-08,163,588,186,161,0.693180977738333,2.538193010772869,0.7930446388847694,0.4643318411516132,1,1
2019-09,146,423,367,162,0.6208860291398566,1.8259449720355843,1.564770873498443,0.46721588985441825,1,1
